Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.97441546509769E-06,1.31214560991818E-05,-0.165570321518981,0,0,0,1.63288702957867,0.0078532701523496,4.15087212249553E-05,-4.67638765406896E-11,0.00846439581729698,-1.77459249477566E-11,0.00422885102236487,0,0,0,0,0,0,package://proto_type_4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://proto_type_4/meshes/base_link.STL,,thruster_mount_whole-1;thruster_mount_whole-2;pressure_vessel-1;board_assembly-1;board_assembly-2,座標系9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
t1,-0.014292,-0.0143,0.017717,0,0,0,0.099392,7.9154E-05,6.1395E-08,-3.7817E-06,7.9136E-05,-3.804E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_4/meshes/t1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_4/meshes/t1.STL,,CFMX141-2,座標系1,thruster_0,l1,fixed,0.109644792463034,0.0969168704014227,-0.281585755800395,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust1,-1.19904086659517E-14,-2.5729418595688E-14,-0.000999999999986234,0,0,0,0.00283424938765199,6.52506444943004E-07,-1.05879118406788E-21,3.04402465419514E-22,6.52506444942997E-07,-3.97046694025453E-22,1.30312339029423E-06,0,0,0,0,0,0,package://proto_type_4/meshes/thrust1.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_4/meshes/thrust1.STL,,propeller-15,座標系33,thruster_0,rotor1,continuous,0,0,0,-2.4569,-0.42053,-0.32175,t1,0,0,1,,,,,,,,,,,,
t2,-0.0143,0.014292,0.017717,0,0,0,0.099392,7.9136E-05,-6.1395E-08,-3.804E-06,7.9154E-05,3.7817E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_4/meshes/t2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_4/meshes/t2.STL,,CFMX141-3,座標系3,thruster_2,l2,fixed,0.10964,-0.096917,-0.28159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust2,1.13242748511766E-14,2.95874436062604E-14,0.00100000000002698,0,0,0,0.00283424938765202,6.52506444943003E-07,5.05572790392411E-21,5.69100261436483E-22,6.52506444943006E-07,-1.05879118406788E-22,1.30312339029424E-06,0,0,0,0,0,0,package://proto_type_4/meshes/thrust2.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_4/meshes/thrust2.STL,,propeller-13,座標系35,thruster_2,rotor2,continuous,0,0,0,-0.68472,-0.42053,0.32175,t2,0,0,-1,,,,,,,,,,,,
t3,0.014292,0.0143,0.017717,0,0,0,0.099392,7.9154E-05,6.1395E-08,3.7817E-06,7.9136E-05,3.804E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_4/meshes/t3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_4/meshes/t3.STL,,CFMX141-4,座標系4,thruster_3,l3,fixed,-0.10964,-0.096917,-0.28159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust3,-1.62092561595273E-14,2.35644836976689E-14,0.00100000000001926,0,0,0,0.002834249387652,6.52506444942998E-07,4.18222517706811E-21,-6.61744490042422E-23,6.52506444943007E-07,-5.29395592033938E-23,1.30312339029424E-06,0,0,0,0,0,0,package://proto_type_4/meshes/thrust3.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_4/meshes/thrust3.STL,,propeller-11,座標系36,thruster_3,rotor3,continuous,0,0,0,-0.68472,0.42053,-0.32175,t3,0,0,1,,,,,,,,,,,,
t4,0.0143,-0.014292,0.017717,0,0,0,0.099392,7.9136E-05,-6.1395E-08,3.804E-06,7.9154E-05,-3.7817E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_4/meshes/t4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_4/meshes/t4.STL,,CFMX141-1,座標系2,thruster_1,l4,fixed,-0.10964,0.096917,-0.28159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust4,2.66453525910038E-15,2.57155408078802E-14,0.000999999999986345,0,0,0,0.00283424938765204,6.52506444943016E-07,-6.89537758624204E-21,-1.05879118406788E-22,6.52506444943005E-07,1.05879118406788E-22,1.30312339029425E-06,0,0,0,0,0,0,package://proto_type_4/meshes/thrust4.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_4/meshes/thrust4.STL,,propeller-10,座標系34,thruster_1,rotor4,continuous,0,0,0,0.68472,0.42053,0.32175,t4,0,0,-1,,,,,,,,,,,,
t5,0.014292,-0.0143,-0.017717,0,0,0,0.099392,7.9154E-05,-6.1395E-08,-3.7817E-06,7.9136E-05,3.804E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_4/meshes/t5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_4/meshes/t5.STL,,CFMX141-8,座標系5,thruster_4,l5,fixed,-0.10964,0.096917,-0.050214,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
